instrument,open,high,low,close,date
GBP_USD,1.55157,1.55520,1.54870,1.54984,2012-07-24:01:00:00+0100
GBP_USD,1.54980,1.55518,1.54588,1.54849,2012-07-25:01:00:00+0100
GBP_USD,1.54845,1.57238,1.54712,1.56829,2012-07-26:01:00:00+0100
GBP_USD,1.56825,1.57678,1.56666,1.57489,2012-07-27:01:00:00+0100
GBP_USD,1.57489,1.57535,1.57249,1.57261,2012-07-29:01:00:00+0100
GBP_USD,1.57265,1.57320,1.56728,1.57117,2012-07-30:01:00:00+0100
GBP_USD,1.57114,1.57306,1.56256,1.56672,2012-07-31:01:00:00+0100
GBP_USD,1.56668,1.56910,1.55304,1.55429,2012-08-01:01:00:00+0100
GBP_USD,1.55426,1.56797,1.54910,1.55134,2012-08-02:01:00:00+0100
GBP_USD,1.55130,1.56570,1.55054,1.56427,2012-08-03:01:00:00+0100
GBP_USD,1.56427,1.56657,1.56051,1.56531,2012-08-05:01:00:00+0100
GBP_USD,1.56527,1.56527,1.55472,1.55879,2012-08-06:01:00:00+0100
GBP_USD,1.55875,1.56842,1.55640,1.56116,2012-08-07:01:00:00+0100
GBP_USD,1.56120,1.56770,1.55728,1.56680,2012-08-08:01:00:00+0100
GBP_USD,1.56676,1.56858,1.56056,1.56294,2012-08-09:01:00:00+0100
GBP_USD,1.56290,1.57014,1.55776,1.56887,2012-08-10:01:00:00+0100
GBP_USD,1.56887,1.56888,1.56658,1.56658,2012-08-12:01:00:00+0100
GBP_USD,1.56662,1.57170,1.56572,1.56756,2012-08-13:01:00:00+0100
GBP_USD,1.56760,1.57284,1.56696,1.56747,2012-08-14:01:00:00+0100
GBP_USD,1.56750,1.57017,1.56606,1.56788,2012-08-15:01:00:00+0100
GBP_USD,1.56784,1.57444,1.56366,1.57350,2012-08-16:01:00:00+0100
GBP_USD,1.57353,1.57392,1.56748,1.56969,2012-08-17:01:00:00+0100
GBP_USD,1.56969,1.57100,1.56845,1.56882,2012-08-19:01:00:00+0100
GBP_USD,1.56879,1.57174,1.56786,1.57099,2012-08-20:01:00:00+0100
GBP_USD,1.57095,1.58045,1.57062,1.57767,2012-08-21:01:00:00+0100
GBP_USD,1.57771,1.58864,1.57664,1.58831,2012-08-22:01:00:00+0100
GBP_USD,1.58828,1.59126,1.58536,1.58574,2012-08-23:01:00:00+0100
GBP_USD,1.58571,1.58696,1.58030,1.58114,2012-08-24:01:00:00+0100
GBP_USD,1.58114,1.58214,1.58005,1.58007,2012-08-26:01:00:00+0100
GBP_USD,1.58011,1.58290,1.57878,1.57910,2012-08-27:01:00:00+0100
GBP_USD,1.57907,1.58362,1.57548,1.58255,2012-08-28:01:00:00+0100
GBP_USD,1.58252,1.58554,1.58032,1.58265,2012-08-29:01:00:00+0100
GBP_USD,1.58268,1.58746,1.57714,1.57873,2012-08-30:01:00:00+0100
GBP_USD,1.57876,1.58956,1.57784,1.58633,2012-08-31:01:00:00+0100
GBP_USD,1.58633,1.58869,1.58633,1.58659,2012-09-02:01:00:00+0100
GBP_USD,1.58663,1.58984,1.58504,1.58797,2012-09-03:01:00:00+0100
GBP_USD,1.58801,1.59096,1.58558,1.58646,2012-09-04:01:00:00+0100
GBP_USD,1.58642,1.59338,1.58264,1.59031,2012-09-05:01:00:00+0100
GBP_USD,1.59027,1.59430,1.58819,1.59319,2012-09-06:01:00:00+0100
GBP_USD,1.59323,1.60343,1.59227,1.60119,2012-09-07:01:00:00+0100
GBP_USD,1.60119,1.60119,1.60119,1.60119,2012-09-08:01:00:00+0100
GBP_USD,1.60119,1.60198,1.60002,1.60072,2012-09-09:01:00:00+0100
GBP_USD,1.60067,1.60180,1.59597,1.59913,2012-09-10:01:00:00+0100
GBP_USD,1.59916,1.60838,1.59916,1.60723,2012-09-11:01:00:00+0100
GBP_USD,1.60727,1.61314,1.60642,1.61054,2012-09-12:01:00:00+0100
GBP_USD,1.61058,1.61744,1.60762,1.61520,2012-09-13:01:00:00+0100
GBP_USD,1.61516,1.62560,1.61512,1.62160,2012-09-14:01:00:00+0100
GBP_USD,1.62160,1.62374,1.62155,1.62230,2012-09-16:01:00:00+0100
GBP_USD,1.62234,1.62736,1.62110,1.62407,2012-09-17:01:00:00+0100
GBP_USD,1.62410,1.62670,1.62210,1.62434,2012-09-18:01:00:00+0100
GBP_USD,1.62437,1.62712,1.61852,1.62319,2012-09-19:01:00:00+0100
GBP_USD,1.62315,1.62360,1.61636,1.62211,2012-09-20:01:00:00+0100
GBP_USD,1.62207,1.63096,1.62132,1.62294,2012-09-21:01:00:00+0100
GBP_USD,1.62294,1.62294,1.62294,1.62294,2012-09-22:01:00:00+0100
GBP_USD,1.62294,1.62510,1.62258,1.62305,2012-09-23:01:00:00+0100
GBP_USD,1.62309,1.62434,1.61818,1.62248,2012-09-24:01:00:00+0100
GBP_USD,1.62245,1.62678,1.61824,1.61920,2012-09-25:01:00:00+0100
GBP_USD,1.61923,1.62092,1.61374,1.61744,2012-09-26:01:00:00+0100
GBP_USD,1.61747,1.62434,1.61660,1.62313,2012-09-27:01:00:00+0100
GBP_USD,1.62309,1.62728,1.61132,1.61669,2012-09-28:01:00:00+0100
GBP_USD,1.61669,1.61669,1.61179,1.61220,2012-09-30:01:00:00+0100
GBP_USD,1.61224,1.61750,1.61090,1.61310,2012-10-01:01:00:00+0100
GBP_USD,1.61306,1.61871,1.61250,1.61290,2012-10-02:01:00:00+0100
GBP_USD,1.61286,1.61420,1.60675,1.61005,2012-10-03:01:00:00+0100
GBP_USD,1.61001,1.62022,1.60828,1.61840,2012-10-04:01:00:00+0100
GBP_USD,1.61844,1.62172,1.61228,1.61360,2012-10-05:01:00:00+0100
GBP_USD,1.61237,1.61437,1.61237,1.61365,2012-10-07:01:00:00+0100
GBP_USD,1.61361,1.61361,1.60210,1.60312,2012-10-08:01:00:00+0100
GBP_USD,1.60309,1.60462,1.59764,1.59946,2012-10-09:01:00:00+0100
GBP_USD,1.59949,1.60344,1.59764,1.60052,2012-10-10:01:00:00+0100
GBP_USD,1.60056,1.60542,1.59844,1.60444,2012-10-11:01:00:00+0100
GBP_USD,1.60448,1.60974,1.60190,1.60729,2012-10-12:01:00:00+0100
GBP_USD,1.60729,1.60824,1.60561,1.60569,2012-10-14:01:00:00+0100
GBP_USD,1.60565,1.60810,1.60212,1.60799,2012-10-15:01:00:00+0100
GBP_USD,1.60803,1.61342,1.60612,1.61268,2012-10-16:01:00:00+0100
GBP_USD,1.61264,1.61785,1.61152,1.61353,2012-10-17:01:00:00+0100
GBP_USD,1.61350,1.61708,1.60412,1.60553,2012-10-18:01:00:00+0100
GBP_USD,1.60550,1.60668,1.59970,1.60042,2012-10-19:01:00:00+0100
GBP_USD,1.60042,1.60150,1.59909,1.59976,2012-10-21:01:00:00+0100
GBP_USD,1.59980,1.60524,1.59980,1.60211,2012-10-22:01:00:00+0100
GBP_USD,1.60207,1.60224,1.59136,1.59482,2012-10-23:01:00:00+0100
GBP_USD,1.59486,1.60482,1.59364,1.60299,2012-10-24:01:00:00+0100
GBP_USD,1.60302,1.61434,1.60292,1.61177,2012-10-25:01:00:00+0100
GBP_USD,1.61174,1.61412,1.60810,1.61032,2012-10-26:01:00:00+0100
GBP_USD,1.61032,1.61225,1.60778,1.60865,2012-10-28:01:00:00+0100
GBP_USD,1.60868,1.60932,1.60068,1.60300,2012-10-29:00:00:00+0000
GBP_USD,1.60296,1.60862,1.60212,1.60733,2012-10-30:00:00:00+0000
GBP_USD,1.60736,1.61390,1.60686,1.61323,2012-10-31:00:00:00+0000
GBP_USD,1.61326,1.61750,1.61206,1.61333,2012-11-01:00:00:00+0000
GBP_USD,1.61330,1.61330,1.60081,1.60242,2012-11-02:00:00:00+0000
GBP_USD,1.60102,1.60224,1.60089,1.60187,2012-11-04:00:00:00+0000
GBP_USD,1.60191,1.60394,1.59576,1.59847,2012-11-05:00:00:00+0000
GBP_USD,1.59850,1.60078,1.59645,1.59899,2012-11-06:00:00:00+0000
GBP_USD,1.59896,1.60424,1.59546,1.59766,2012-11-07:00:00:00+0000
GBP_USD,1.59770,1.60048,1.59294,1.59755,2012-11-08:00:00:00+0000
GBP_USD,1.59759,1.60194,1.58874,1.58969,2012-11-09:00:00:00+0000
GBP_USD,1.58979,1.59066,1.58916,1.58926,2012-11-11:00:00:00+0000
GBP_USD,1.58923,1.59148,1.58644,1.58750,2012-11-12:00:00:00+0000
GBP_USD,1.58753,1.59156,1.58580,1.58750,2012-11-13:00:00:00+0000
GBP_USD,1.58746,1.59014,1.58388,1.58392,2012-11-14:00:00:00+0000
GBP_USD,1.58388,1.58794,1.58281,1.58655,2012-11-15:00:00:00+0000
GBP_USD,1.58651,1.59016,1.58362,1.58795,2012-11-16:00:00:00+0000
GBP_USD,1.58911,1.59069,1.58827,1.58976,2012-11-18:00:00:00+0000
GBP_USD,1.58981,1.59235,1.58874,1.58930,2012-11-19:00:00:00+0000
GBP_USD,1.58926,1.59362,1.58922,1.59228,2012-11-20:00:00:00+0000
GBP_USD,1.59231,1.59696,1.58830,1.59682,2012-11-21:00:00:00+0000
GBP_USD,1.59678,1.59784,1.59196,1.59366,2012-11-22:00:00:00+0000
GBP_USD,1.59370,1.60513,1.59276,1.60287,2012-11-23:00:00:00+0000
GBP_USD,1.60239,1.60384,1.60224,1.60296,2012-11-25:00:00:00+0000
GBP_USD,1.60293,1.60354,1.59968,1.60322,2012-11-26:00:00:00+0000
GBP_USD,1.60326,1.60564,1.60098,1.60193,2012-11-27:00:00:00+0000
GBP_USD,1.60197,1.60214,1.59624,1.60140,2012-11-28:00:00:00+0000
GBP_USD,1.60144,1.60482,1.60024,1.60377,2012-11-29:00:00:00+0000
GBP_USD,1.60374,1.60626,1.59892,1.60111,2012-11-30:00:00:00+0000
GBP_USD,1.60111,1.60256,1.60111,1.60226,2012-12-02:00:00:00+0000
GBP_USD,1.60230,1.61158,1.60208,1.60974,2012-12-03:00:00:00+0000
GBP_USD,1.60971,1.61306,1.60868,1.60991,2012-12-04:00:00:00+0000
GBP_USD,1.60994,1.61188,1.60826,1.60919,2012-12-05:00:00:00+0000
GBP_USD,1.60923,1.61282,1.60366,1.60483,2012-12-06:00:00:00+0000
GBP_USD,1.60486,1.60610,1.60024,1.60427,2012-12-07:00:00:00+0000
GBP_USD,1.60373,1.60398,1.60246,1.60350,2012-12-09:00:00:00+0000
GBP_USD,1.60354,1.60966,1.60142,1.60720,2012-12-10:00:00:00+0000
GBP_USD,1.60716,1.61222,1.60692,1.61181,2012-12-11:00:00:00+0000
GBP_USD,1.61180,1.61719,1.60954,1.61355,2012-12-12:00:00:00+0000
GBP_USD,1.61355,1.61540,1.60847,1.61136,2012-12-13:00:00:00+0000
GBP_USD,1.61135,1.61781,1.61040,1.61747,2012-12-14:00:00:00+0000
GBP_USD,1.61548,1.61996,1.61548,1.61741,2012-12-16:00:00:00+0000
GBP_USD,1.61737,1.62166,1.61578,1.62035,2012-12-17:00:00:00+0000
